"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"1042011","1040011","Norwich School District","Moriarty Magnet School","Non-ELL","14.6","17.9","17.9","10.9","8.9"
"1040811","1040011","Norwich School District","Samuel Huntington School","ELL","*","*","*","*","*"
"1040811","1040011","Norwich School District","Samuel Huntington School","Non-ELL","*","*","*","*","*"
"1040511","1040011","Norwich School District","Special Needs Program","ELL","","","","","*"
"1040511","1040011","Norwich School District","Special Needs Program","Non-ELL","","","","","*"
"1045211","1040011","Norwich School District","Teachers' Memorial Middle School","ELL","*","14.5","10.0","12.3","*"
"1045211","1040011","Norwich School District","Teachers' Memorial Middle School","Non-ELL","*","8.9","14.9","12.9","*"
"1046111","1040011","Norwich School District","Thames River Academy","ELL","*","","","",""
"1046111","1040011","Norwich School District","Thames River Academy","Non-ELL","*","","","",""
"1041711","1040011","Norwich School District","Thomas W. Mahan School","ELL","*","*","10.7","11.3","*"
"1041711","1040011","Norwich School District","Thomas W. Mahan School","Non-ELL","*","*","5.8","7.2","*"
"1041911","1040011","Norwich School District","Uncas Network School","ELL","19.6","*","*","*","14.6"
"1041911","1040011","Norwich School District","Uncas Network School","Non-ELL","17.0","*","*","*","7.5"
"1041811","1040011","Norwich School District","Veterans' Memorial School","ELL","17.1","*","*","*","*"
"1041811","1040011","Norwich School District","Veterans' Memorial School","Non-ELL","9.6","*","*","*","*"
"1041511","1040011","Norwich School District","Wequonnoc Magnet School","ELL","*","*","0.0","*","0.0"
"1041511","1040011","Norwich School District","Wequonnoc Magnet School","Non-ELL","*","*","16.5","*","8.2"
"2635113","2630013","Odyssey Community School District","Odyssey Community School","ELL","","","","*","*"
"2635113","2630013","Odyssey Community School District","Odyssey Community School","Non-ELL","8.9","9.4","11.7","*","*"
"1060211","1060011","Old Saybrook School District","Kathleen E. Goodwin School","ELL","*","*","*","0.0","*"
"1060211","1060011","Old Saybrook School District","Kathleen E. Goodwin School","Non-ELL","*","*","*","2.0","*"
"1065211","1060011","Old Saybrook School District","Old Saybrook Middle School","ELL","*","*","*","*","*"
"1065211","1060011","Old Saybrook School District","Old Saybrook Middle School","Non-ELL","*","*","*","*","*"
"1066111","1060011","Old Saybrook School District","Old Saybrook Senior High School","ELL","*","*","*","*","*"
"1066111","1060011","Old Saybrook School District","Old Saybrook Senior High School","Non-ELL","*","*","*","*","*"
"1070211","1070011","Orange School District","Mary L. Tracy School","ELL","*","*","*","*","*"
"1070211","1070011","Orange School District","Mary L. Tracy School","Non-ELL","*","*","*","*","*"
"1070511","1070011","Orange School District","Peck Place School","ELL","*","*","*","*","*"
"1070511","1070011","Orange School District","Peck Place School","Non-ELL","*","*","*","*","*"
"1070311","1070011","Orange School District","Race Brook School","ELL","*","*","*","*","*"
"1070311","1070011","Orange School District","Race Brook School","Non-ELL","*","*","*","*","*"
"1070411","1070011","Orange School District","Turkey Hill School","ELL","*","*","*","*","*"
"1070411","1070011","Orange School District","Turkey Hill School","Non-ELL","*","*","*","*","*"
"1080411","1080011","Oxford School District","Alternative Education","Non-ELL","","","","","*"
"1085111","1080011","Oxford School District","Great Oak School","ELL","*","*","*","*","*"
"1085111","1080011","Oxford School District","Great Oak School","Non-ELL","*","*","*","*","*"
"1080111","1080011","Oxford School District","Oxford Center School","ELL","*","*","*","*","*"
"1080111","1080011","Oxford School District","Oxford Center School","Non-ELL","*","*","*","*","*"
"1086011","1080011","Oxford School District","Oxford High School","ELL","*","*","*","*","*"
"1086011","1080011","Oxford School District","Oxford High School","Non-ELL","*","*","*","*","*"
"1080311","1080011","Oxford School District","Quaker Farms School","ELL","*","*","*","*","0.0"
"1080311","1080011","Oxford School District","Quaker Farms School","Non-ELL","*","*","*","*","2.2"
"2835113","2830013","Park City Prep Charter School District","Park City Prep Charter School","ELL","*","*","*","","*"
"2835113","2830013","Park City Prep Charter School District","Park City Prep Charter School","Non-ELL","*","*","*","8.1","*"
"2930113","2930013","Path Academy District","Path Academy","ELL","","","","77.1","100.0"
"2930113","2930013","Path Academy District","Path Academy","Non-ELL","","","","85.2","100.0"
"1090111","1090011","Plainfield School District","Moosup Elementary School","ELL","","*","*","*","*"
"1090111","1090011","Plainfield School District","Moosup Elementary School","Non-ELL","8.7","*","*","*","*"
"1095111","1090011","Plainfield School District","Plainfield Central School","ELL","*","*","*","*","*"
"1095111","1090011","Plainfield School District","Plainfield Central School","Non-ELL","*","*","*","*","*"
"1096111","1090011","Plainfield School District","Plainfield High School","ELL","*","*","*","*","*"
"1096111","1090011","Plainfield School District","Plainfield High School","Non-ELL","*","*","*","*","*"
"1090311","1090011","Plainfield School District","Plainfield Memorial School","ELL","*","*","*","","*"
"1090311","1090011","Plainfield School District","Plainfield Memorial School","Non-ELL","*","*","*","5.5","*"
"1090411","1090011","Plainfield School District","Shepard Hill Elementary School","ELL","*","*","*","*","*"
"1090411","1090011","Plainfield School District","Shepard Hill Elementary School","Non-ELL","*","*","*","*","*"
"1100411","1100011","Plainville School District","Frank T. Wheeler School","ELL","*","0.0","*","0.0","*"
"1100411","1100011","Plainville School District","Frank T. Wheeler School","Non-ELL","*","5.7","*","4.2","*"
"1100211","1100011","Plainville School District","Linden Street School","ELL","24.4","*","*","*","*"
"1100211","1100011","Plainville School District","Linden Street School","Non-ELL","6.6","*","*","*","*"
"1100511","1100011","Plainville School District","Louis Toffolon School","ELL","*","*","*","*","*"
"1100511","1100011","Plainville School District","Louis Toffolon School","Non-ELL","*","*","*","*","*"
"1105211","1100011","Plainville School District","Middle School of Plainville","ELL","*","*","*","*","*"
"1105211","1100011","Plainville School District","Middle School of Plainville","Non-ELL","*","*","*","*","*"
"1106111","1100011","Plainville School District","Plainville High School","ELL","*","*","*","*","*"
"1106111","1100011","Plainville School District","Plainville High School","Non-ELL","*","*","*","*","*"
"1115111","1110011","Plymouth School District","Eli Terry Jr. Middle School","ELL","*","*","*","*","*"
"1115111","1110011","Plymouth School District","Eli Terry Jr. Middle School","Non-ELL","*","*","*","*","*"
"1110411","1110011","Plymouth School District","Harry S. Fisher Elementary School","ELL","*","*","*","*","*"
"1110411","1110011","Plymouth School District","Harry S. Fisher Elementary School","Non-ELL","*","*","*","*","*"
"1117111","1110011","Plymouth School District","Plymouth Alternative High School","Non-ELL","","","*","*","*"
"1110211","1110011","Plymouth School District","Plymouth Center School","ELL","*","*","*","*","*"
"1110211","1110011","Plymouth School District","Plymouth Center School","Non-ELL","*","*","*","*","*"
"1116111","1110011","Plymouth School District","Terryville High School","ELL","*","*","*","*","*"
"1116111","1110011","Plymouth School District","Terryville High School","Non-ELL","*","*","*","*","*"
"1120111","1120011","Pomfret School District","Pomfret Community School","ELL","*","*","*","*","*"
"1120111","1120011","Pomfret School District","Pomfret Community School","Non-ELL","*","*","*","*","*"
"1130511","1130011","Portland School District","Brownstone Intermediate School","ELL","*","*","","","*"
"1130511","1130011","Portland School District","Brownstone Intermediate School","Non-ELL","*","*","5.5","5.6","*"
"1130411","1130011","Portland School District","Gildersleeve School","ELL","","*","*","*","*"
"1130411","1130011","Portland School District","Gildersleeve School","Non-ELL","*","*","*","*","*"
"1136111","1130011","Portland School District","Portland High School","ELL","*","*","*","*",""
"1136111","1130011","Portland School District","Portland High School","Non-ELL","*","*","*","*","11.1"
"1135111","1130011","Portland School District","Portland Middle School","ELL","*","*","*","",""
"1135111","1130011","Portland School District","Portland Middle School","Non-ELL","*","*","*","8.4","5.9"
"1130211","1130011","Portland School District","Valley View School","ELL","*","*","*","*","*"
"1130211","1130011","Portland School District","Valley View School","Non-ELL","*","*","*","*","*"
"1145111","1140011","Preston School District","Preston Plains School","ELL","*","*","","*","*"
"1145111","1140011","Preston School District","Preston Plains School","Non-ELL","*","*","0.0","*","*"
"1140411","1140011","Preston School District","Preston Veterans' Memorial School","ELL","*","*","*","*","*"
"1140411","1140011","Preston School District","Preston Veterans' Memorial School","Non-ELL","*","*","*","*","*"
"1169011","1160011","Putnam School District","Helping Hands","ELL","","","","","*"
"1169011","1160011","Putnam School District","Helping Hands","Non-ELL","*","*","*","*","*"
"1160111","1160011","Putnam School District","PALS - Putnam Alternative Learning System","Non-ELL","","","","*","*"
"1160311","1160011","Putnam School District","Putnam Elementary School","ELL","*","36.4","*","*","*"
"1160311","1160011","Putnam School District","Putnam Elementary School","Non-ELL","*","6.8","*","*","*"
"1166111","1160011","Putnam School District","Putnam High School","ELL","*","*","*","*","*"
"1166111","1160011","Putnam School District","Putnam High School","Non-ELL","*","*","*","*","*"
"1165111","1160011","Putnam School District","Putnam Middle School","ELL","*","*","*","*","*"
"1165111","1160011","Putnam School District","Putnam Middle School","Non-ELL","*","*","*","*","*"
"1175111","1170011","Redding School District","John Read Middle School","ELL","*","*","*","*","*"
"1175111","1170011","Redding School District","John Read Middle School","Non-ELL","*","*","*","*","*"
"1170111","1170011","Redding School District","Redding Elementary School","ELL","*","*","*","*","*"
"1170111","1170011","Redding School District","Redding Elementary School","Non-ELL","*","*","*","*","*"
"2010412","2010012","Regional School District 01","LEAPSS","Non-ELL","","","","","*"
"2010512","2010012","Regional School District 01","ALPSS","Non-ELL","","","","","*"
"2016112","2010012","Regional School District 01","Housatonic Valley Regional High School","ELL","","*","*","*","*"
"2016112","2010012","Regional School District 01","Housatonic Valley Regional High School","Non-ELL","6.7","*","*","*","*"
"2010312","2010012","Regional School District 01","SELC","Non-ELL","","","","","*"
"2010212","2010012","Regional School District 01","TOTAL","Non-ELL","","","","","*"
"2045112","2040012","Regional School District 04","John Winthrop Middle School","ELL","*","*","*","*","*"
"2045112","2040012","Regional School District 04","John Winthrop Middle School","Non-ELL","*","*","*","*","*"
"2040112","2040012","Regional School District 04","Region 4 Transition Academy","Non-ELL","","","","","*"
"2046112","2040012","Regional School District 04","Valley Regional High School","ELL","*","*","*","*","*"
"2046112","2040012","Regional School District 04","Valley Regional High School","Non-ELL","*","*","*","*","*"
"2055112","2050012","Regional School District 05","Amity Middle School: Bethany","ELL","*","*","*","*",""
"2055112","2050012","Regional School District 05","Amity Middle School: Bethany","Non-ELL","*","*","*","*","8.1"
"2055212","2050012","Regional School District 05","Amity Middle School: Orange","ELL","*","*","*","*","*"
"2055212","2050012","Regional School District 05","Amity Middle School: Orange","Non-ELL","*","*","*","*","*"
"2056112","2050012","Regional School District 05","Amity Regional High School","ELL","*","*","*","*","*"
